epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5528,1.23349,2.87431,1.07697,0.05008,0.40988,0.23911,0.1645,1.18317,3.07108,1.02126,0.000296553,0.000296553,0.000296553
2,44.2621,1.18131,1.44938,1.03775,0.45639,0.45267,0.44557,0.2833,1.11793,1.62675,0.99321,0.000593618,0.000593618,0.000593618
3,64.019,1.12504,1.18541,1.00888,0.43098,0.45199,0.41129,0.26313,1.12265,1.74433,1.046,0.000884683,0.000884683,0.000884683
4,84.0755,1.09906,1.11392,0.99895,0.57635,0.51228,0.5061,0.31516,1.10007,1.31093,1.02595,0.000882003,0.000882003,0.000882003
5,104.102,1.06271,1.02382,0.98792,0.55706,0.56928,0.5757,0.35969,1.05108,1.18478,0.98831,0.000873004,0.000873004,0.000873004
6,123.434,1.04234,0.97994,0.97803,0.64708,0.54812,0.60846,0.3731,1.03059,1.1722,0.98925,0.000864004,0.000864004,0.000864004
7,144.817,1.04074,0.93654,0.98403,0.69615,0.58715,0.64198,0.3984,1.03919,1.03953,0.98364,0.000855005,0.000855005,0.000855005
8,164.559,1.02148,0.91623,0.97486,0.64887,0.62971,0.64836,0.39424,1.04905,1.09587,0.98806,0.000846006,0.000846006,0.000846006
9,183.548,1.0042,0.89489,0.97087,0.66472,0.61724,0.66244,0.43282,0.9814,0.98261,0.97307,0.000837007,0.000837007,0.000837007
10,204.515,1.00366,0.85787,0.961,0.71234,0.63597,0.68229,0.41525,1.00231,0.9919,0.97246,0.000828008,0.000828008,0.000828008
11,223.974,0.97856,0.84105,0.96221,0.69624,0.65416,0.69388,0.43335,0.98936,1.01894,0.98079,0.000819009,0.000819009,0.000819009
12,243.021,0.98472,0.81281,0.95463,0.70767,0.6578,0.70191,0.45508,0.95988,0.93126,0.96048,0.00081001,0.00081001,0.00081001
13,264.622,0.97536,0.8113,0.95601,0.78678,0.59933,0.69951,0.44435,0.9786,0.98744,0.96932,0.000801011,0.000801011,0.000801011
14,283.878,0.97252,0.77699,0.94767,0.71743,0.67433,0.72455,0.4459,1.02503,0.99147,0.98105,0.000792012,0.000792012,0.000792012
15,303.247,0.96104,0.75243,0.94621,0.76264,0.68236,0.73162,0.46475,0.98035,0.896,0.97302,0.000783013,0.000783013,0.000783013
16,325.078,0.96797,0.75727,0.95023,0.7186,0.69128,0.72578,0.46138,0.97102,0.87569,0.97025,0.000774013,0.000774013,0.000774013
17,344.472,0.94355,0.73862,0.94129,0.7748,0.63473,0.72608,0.45582,0.95541,0.86535,0.96074,0.000765014,0.000765014,0.000765014
18,363.507,0.94583,0.72096,0.94018,0.76889,0.66046,0.72865,0.46011,0.96699,0.85984,0.96179,0.000756015,0.000756015,0.000756015
19,384.97,0.9391,0.73683,0.94644,0.71933,0.68206,0.73929,0.47568,0.94891,0.85558,0.96363,0.000747016,0.000747016,0.000747016
20,405.231,0.93901,0.71896,0.93907,0.69893,0.67795,0.73799,0.47384,0.95557,0.85794,0.96093,0.000738017,0.000738017,0.000738017
21,424.907,0.92234,0.69223,0.93457,0.68698,0.70513,0.73874,0.47155,0.94293,0.82231,0.95909,0.000729018,0.000729018,0.000729018
22,446.739,0.92797,0.71055,0.94001,0.69933,0.67548,0.7053,0.44602,0.97247,0.87325,0.96644,0.000720019,0.000720019,0.000720019
23,466.203,0.9171,0.67226,0.93011,0.74498,0.68761,0.74537,0.47318,0.93919,0.83876,0.95743,0.00071102,0.00071102,0.00071102
24,485.802,0.89452,0.66454,0.92834,0.77747,0.68868,0.7641,0.49633,0.92556,0.79678,0.95329,0.000702021,0.000702021,0.000702021
25,506.642,0.90403,0.66824,0.92759,0.69637,0.69622,0.72951,0.46757,0.97685,0.83741,0.98043,0.000693022,0.000693022,0.000693022
26,526.563,0.91699,0.66998,0.93416,0.77385,0.65652,0.73415,0.47612,0.93846,0.80971,0.95625,0.000684022,0.000684022,0.000684022
27,545.881,0.90678,0.67528,0.93285,0.7803,0.64804,0.74862,0.48154,0.95402,0.86277,0.96433,0.000675023,0.000675023,0.000675023
28,567.445,0.89677,0.65123,0.92459,0.72424,0.6546,0.72698,0.46921,0.93234,0.86433,0.95924,0.000666024,0.000666024,0.000666024
29,586.428,0.9014,0.64318,0.92303,0.79004,0.69538,0.75682,0.48877,0.9213,0.76689,0.95312,0.000657025,0.000657025,0.000657025
30,606.089,0.89149,0.647,0.93118,0.76514,0.66964,0.74049,0.47804,0.9378,0.79905,0.96267,0.000648026,0.000648026,0.000648026
31,626.626,0.88199,0.62977,0.92369,0.72723,0.69428,0.74918,0.49225,0.9353,0.79483,0.95936,0.000639027,0.000639027,0.000639027
32,646.154,0.88652,0.62772,0.91902,0.75837,0.68799,0.75175,0.48681,0.93065,0.79375,0.95377,0.000630028,0.000630028,0.000630028
33,666.563,0.8852,0.62213,0.92615,0.79476,0.68535,0.76398,0.49448,0.94249,0.78175,0.96756,0.000621029,0.000621029,0.000621029
34,685.959,0.89032,0.62209,0.92091,0.80939,0.69121,0.77265,0.50792,0.91816,0.77499,0.9449,0.00061203,0.00061203,0.00061203
35,704.737,0.87663,0.60519,0.91588,0.83058,0.66609,0.76179,0.50496,0.90185,0.75628,0.93987,0.000603031,0.000603031,0.000603031
36,726.295,0.87179,0.61439,0.9194,0.77296,0.70611,0.76369,0.49225,0.92608,0.76529,0.95593,0.000594031,0.000594031,0.000594031
37,745.608,0.88083,0.60997,0.92327,0.72154,0.70591,0.7419,0.48623,0.93311,0.75956,0.95935,0.000585032,0.000585032,0.000585032
38,765.077,0.86186,0.61281,0.914,0.75495,0.72288,0.75299,0.4946,0.92798,0.77105,0.96384,0.000576033,0.000576033,0.000576033
39,786.663,0.86383,0.59942,0.91752,0.74189,0.68907,0.73645,0.48397,0.91275,0.7741,0.95365,0.000567034,0.000567034,0.000567034
40,806.18,0.86846,0.60757,0.9127,0.79141,0.6776,0.76206,0.5097,0.92143,0.74593,0.9568,0.000558035,0.000558035,0.000558035
41,827.605,0.85159,0.58915,0.91408,0.76607,0.68927,0.75706,0.49114,0.92945,0.75815,0.95986,0.000549036,0.000549036,0.000549036
42,848.488,0.87249,0.58876,0.91659,0.74045,0.71727,0.76442,0.50265,0.93199,0.74547,0.95881,0.000540037,0.000540037,0.000540037
43,867.425,0.84889,0.57838,0.90417,0.81633,0.67554,0.76595,0.50752,0.9145,0.73334,0.95301,0.000531038,0.000531038,0.000531038
44,887.796,0.85046,0.5822,0.9131,0.77795,0.67725,0.76111,0.50368,0.91704,0.71828,0.95283,0.000522039,0.000522039,0.000522039
45,907.841,0.85347,0.57383,0.91009,0.85393,0.66179,0.77185,0.49943,0.91079,0.72884,0.94803,0.00051304,0.00051304,0.00051304
46,926.92,0.85513,0.56773,0.91461,0.82579,0.67539,0.77686,0.50071,0.91024,0.748,0.95322,0.00050404,0.00050404,0.00050404
47,947.425,0.83699,0.55543,0.90759,0.69402,0.74061,0.77231,0.50793,0.91068,0.70578,0.95231,0.000495041,0.000495041,0.000495041
48,967.515,0.84367,0.56003,0.90611,0.80479,0.65474,0.75369,0.50476,0.90174,0.72806,0.9484,0.000486042,0.000486042,0.000486042
49,986.736,0.83609,0.54642,0.90589,0.81454,0.66603,0.76754,0.50967,0.91473,0.71457,0.95243,0.000477043,0.000477043,0.000477043
50,1007.1,0.83511,0.54737,0.90525,0.73341,0.73587,0.77677,0.518,0.89615,0.72044,0.9444,0.000468044,0.000468044,0.000468044
51,1027.64,0.83544,0.54851,0.90604,0.83274,0.65796,0.76196,0.50615,0.89933,0.73867,0.94673,0.000459045,0.000459045,0.000459045
52,1046.67,0.82956,0.54172,0.90125,0.77389,0.7502,0.79116,0.51584,0.9087,0.72244,0.94581,0.000450046,0.000450046,0.000450046
53,1067.5,0.82849,0.53967,0.90095,0.78257,0.71598,0.77677,0.5096,0.90373,0.73209,0.94939,0.000441047,0.000441047,0.000441047
54,1086.95,0.82888,0.53489,0.90154,0.85796,0.65695,0.75928,0.50633,0.89528,0.72303,0.9463,0.000432048,0.000432048,0.000432048
55,1106.32,0.83199,0.53763,0.90279,0.73555,0.74658,0.78744,0.52414,0.90114,0.71188,0.94829,0.000423049,0.000423049,0.000423049
56,1127.87,0.82756,0.53357,0.90189,0.85649,0.6522,0.77445,0.5138,0.8961,0.71247,0.94714,0.000414049,0.000414049,0.000414049
57,1147.25,0.82052,0.53453,0.90194,0.76067,0.7351,0.78644,0.51487,0.89734,0.70635,0.94656,0.00040505,0.00040505,0.00040505
58,1167.05,0.8201,0.52524,0.89805,0.85677,0.66301,0.77561,0.51773,0.89122,0.72271,0.94285,0.000396051,0.000396051,0.000396051
59,1187.85,0.81786,0.52096,0.89423,0.75348,0.73736,0.7939,0.51602,0.90364,0.7214,0.94957,0.000387052,0.000387052,0.000387052
