epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.537,1.96203,2.44108,1.02959,0.28205,0.18339,0.11446,0.06119,1.75442,1.52149,0.96808,0.000237706,0.000237706,0.000237706
2,192.262,1.81709,1.61786,0.98509,0.2414,0.20936,0.15233,0.08172,1.67853,1.40824,0.94956,0.000456868,0.000456868,0.000456868
3,273.682,1.78561,1.51183,0.97232,0.25213,0.22381,0.16027,0.08333,1.70554,1.40799,0.95545,0.00065718,0.00065718,0.00065718
4,352.441,1.74692,1.44368,0.96593,0.27364,0.23247,0.17772,0.09681,1.64295,1.32607,0.95208,0.000629177,0.000629177,0.000629177
5,432.079,1.7321,1.40194,0.95914,0.29167,0.23523,0.19053,0.10522,1.63152,1.28465,0.93835,0.000600902,0.000600902,0.000600902
6,512.208,1.7186,1.36789,0.95612,0.39809,0.24386,0.19647,0.10669,1.65812,1.27376,0.93814,0.000572628,0.000572628,0.000572628
7,594.636,1.69436,1.33806,0.95054,0.31189,0.26266,0.21013,0.11557,1.59763,1.23596,0.93512,0.000544354,0.000544354,0.000544354
8,673.476,1.69434,1.31295,0.94458,0.36852,0.25726,0.22108,0.12184,1.59041,1.21508,0.92721,0.000516079,0.000516079,0.000516079
9,754.276,1.66286,1.28265,0.9418,0.3526,0.26362,0.22908,0.12711,1.56138,1.19544,0.9257,0.000487805,0.000487805,0.000487805
10,836.403,1.65215,1.26841,0.93923,0.34678,0.27979,0.23577,0.13083,1.55654,1.17459,0.92339,0.00045953,0.00045953,0.00045953
11,925.201,1.65366,1.24935,0.93555,0.35374,0.28446,0.2354,0.12931,1.55054,1.17993,0.92201,0.000431256,0.000431256,0.000431256
12,1012.24,1.64759,1.24057,0.93267,0.3763,0.27671,0.23923,0.1302,1.55256,1.17106,0.91891,0.000402982,0.000402982,0.000402982
13,1092.07,1.63778,1.22792,0.93202,0.35784,0.29123,0.2442,0.13554,1.54304,1.15427,0.91899,0.000374707,0.000374707,0.000374707
14,1180.03,1.61355,1.21178,0.92812,0.37957,0.28084,0.24573,0.13751,1.52996,1.15043,0.91556,0.000346433,0.000346433,0.000346433
15,1261.76,1.61688,1.20139,0.92694,0.37604,0.29215,0.24925,0.13755,1.52777,1.14622,0.91318,0.000318158,0.000318158,0.000318158
16,1341.51,1.56428,1.17219,0.92653,0.37653,0.28472,0.24477,0.13558,1.54145,1.14868,0.91817,0.000289884,0.000289884,0.000289884
17,1417.57,1.54078,1.14603,0.92223,0.37502,0.2855,0.24892,0.13743,1.52946,1.13304,0.91548,0.00026161,0.00026161,0.00026161
18,1493.13,1.53169,1.12953,0.9235,0.38796,0.28923,0.25555,0.14103,1.5179,1.12114,0.91224,0.000233335,0.000233335,0.000233335
19,1566.6,1.52494,1.11805,0.91886,0.38922,0.2986,0.26204,0.14424,1.51336,1.11628,0.91311,0.000205061,0.000205061,0.000205061
20,1644.32,1.51828,1.10913,0.91805,0.38338,0.29802,0.26043,0.14485,1.5062,1.11361,0.90896,0.000176786,0.000176786,0.000176786
21,1719.43,1.50539,1.092,0.91461,0.39416,0.29821,0.26454,0.1481,1.49882,1.10288,0.90863,0.000148512,0.000148512,0.000148512
22,1795.32,1.50106,1.08735,0.91358,0.38831,0.29752,0.26328,0.14694,1.50006,1.10467,0.90877,0.000120238,0.000120238,0.000120238
23,1867.87,1.49311,1.07516,0.9122,0.39916,0.29899,0.26673,0.14844,1.49199,1.09587,0.90656,9.19632e-05,9.19632e-05,9.19632e-05
24,1942.44,1.49101,1.06665,0.91089,0.39054,0.30357,0.26887,0.15066,1.48825,1.09073,0.90603,6.36888e-05,6.36888e-05,6.36888e-05
25,2016.01,1.48178,1.06068,0.90729,0.39931,0.30135,0.27104,0.15212,1.48519,1.08524,0.90589,3.54144e-05,3.54144e-05,3.54144e-05
